Postal Code,Place Name,Latitude,Longitude
0800,H¿je Taastrup,55.65,12.2833
0877,Valby,55.7333,12.1729
0900,K¿benhavn C,55.6777,12.5709
0910,K¿benhavn C,55.6777,12.5709
0929,K¿benhavn C,55.6777,12.5709
1000,K¿benhavn K,55.6777,12.5709
1001,K¿benhavn K,55.6777,12.5709
1002,K¿benhavn K,55.6777,12.5709
1003,K¿benhavn K,55.6777,12.5709
1004,K¿benhavn K,55.6777,12.5709
1005,K¿benhavn K,55.6777,12.5709
1006,K¿benhavn K,55.6777,12.5709
1007,K¿benhavn K,55.6777,12.5709
1008,K¿benhavn K,55.6777,12.5709
1009,K¿benhavn K,55.6777,12.5709
1010,K¿benhavn K,55.6777,12.5709
1011,K¿benhavn K,55.6777,12.5709
1012,K¿benhavn K,55.6777,12.5709
1013,K¿benhavn K,55.6777,12.5709
1014,K¿benhavn K,55.6777,12.5709
1015,K¿benhavn K,55.6777,12.5709
1016,K¿benhavn K,55.6777,12.5709
1017,K¿benhavn K,55.6777,12.5709
1018,K¿benhavn K,55.6777,12.5709
1019,K¿benhavn K,55.6777,12.5709
1020,K¿benhavn K,55.6777,12.5709
1021,K¿benhavn K,55.6777,12.5709
1022,K¿benhavn K,55.6777,12.5709
1023,K¿benhavn K,55.6777,12.5709
1024,K¿benhavn K,55.6777,12.5709
1025,K¿benhavn K,55.6777,12.5709
1026,K¿benhavn K,55.6777,12.5709
1045,K¿benhavn K,55.6777,12.5709
1050,K¿benhavn K,55.6777,12.5709
1051,K¿benhavn K,55.6777,12.5709
1052,K¿benhavn K,55.6777,12.5709
1053,K¿benhavn K,55.6777,12.5709
1054,K¿benhavn K,55.6777,12.5709
1055,K¿benhavn K,55.6777,12.5709
1056,K¿benhavn K,55.6777,12.5709
1057,K¿benhavn K,55.6777,12.5709
1058,K¿benhavn K,55.6777,12.5709
1059,K¿benhavn K,55.6777,12.5709
1060,K¿benhavn K,55.6777,12.5709
1061,K¿benhavn K,55.6777,12.5709
1062,K¿benhavn K,55.6777,12.5709
1063,K¿benhavn K,55.6777,12.5709
1064,K¿benhavn K,55.6777,12.5709
1065,K¿benhavn K,55.6777,12.5709
1066,K¿benhavn K,55.6777,12.5709
1067,K¿benhavn K,55.6777,12.5709
1068,K¿benhavn K,55.6777,12.5709
1069,K¿benhavn K,55.6777,12.5709
1070,K¿benhavn K,55.6777,12.5709
1071,K¿benhavn K,55.6777,12.5709
1072,K¿benhavn K,55.6777,12.5709
1073,K¿benhavn K,55.6777,12.5709
1074,K¿benhavn K,55.6777,12.5709
1092,K¿benhavn K,55.6777,12.5709
1093,K¿benhavn K,55.6777,12.5709
1095,K¿benhavn K,55.6777,12.5709
1098,K¿benhavn K,55.6777,12.5709
1100,K¿benhavn K,55.6777,12.5709
1101,K¿benhavn K,55.6777,12.5709
1102,K¿benhavn K,55.6777,12.5709
1103,K¿benhavn K,55.6777,12.5709
1104,K¿benhavn K,55.6777,12.5709
1105,K¿benhavn K,55.6777,12.5709
1106,K¿benhavn K,55.6777,12.5709
1107,K¿benhavn K,55.6777,12.5709
1110,K¿benhavn K,55.6777,12.5709
1111,K¿benhavn K,55.6777,12.5709
1112,K¿benhavn K,55.6777,12.5709
1113,K¿benhavn K,55.6777,12.5709
1114,K¿benhavn K,55.6777,12.5709
1115,K¿benhavn K,55.6777,12.5709
1116,K¿benhavn K,55.6777,12.5709
1117,K¿benhavn K,55.6777,12.5709
1118,K¿benhavn K,55.6777,12.5709
1119,K¿benhavn K,55.6777,12.5709
1120,K¿benhavn K,55.6777,12.5709
1121,K¿benhavn K,55.6777,12.5709
1122,K¿benhavn K,55.6777,12.5709
1123,K¿benhavn K,55.6777,12.5709
1124,K¿benhavn K,55.6777,12.5709
1125,K¿benhavn K,55.6777,12.5709
1126,K¿benhavn K,55.6777,12.5709
1127,K¿benhavn K,55.6777,12.5709
1128,K¿benhavn K,55.6777,12.5709
1129,K¿benhavn K,55.6777,12.5709
1130,K¿benhavn K,55.6777,12.5709
1131,K¿benhavn K,55.6777,12.5709
1140,K¿benhavn K,55.6777,12.5709
1147,K¿benhavn K,55.6777,12.5709
1148,K¿benhavn K,55.6777,12.5709
1150,K¿benhavn K,55.6777,12.5709
1151,K¿benhavn K,55.6777,12.5709
1152,K¿benhavn K,55.6777,12.5709
1153,K¿benhavn K,55.6777,12.5709
1154,K¿benhavn K,55.6777,12.5709
1155,K¿benhavn K,55.6777,12.5709
1156,K¿benhavn K,55.6777,12.5709
1157,K¿benhavn K,55.6777,12.5709
1158,K¿benhavn K,55.6777,12.5709
1159,K¿benhavn K,55.6777,12.5709
1160,K¿benhavn K,55.6777,12.5709
1161,K¿benhavn K,55.6777,12.5709
1162,K¿benhavn K,55.6777,12.5709
1163,K¿benhavn K,55.6777,12.5709
1164,K¿benhavn K,55.6777,12.5709
1165,K¿benhavn K,55.6777,12.5709
1166,K¿benhavn K,55.6777,12.5709
1167,K¿benhavn K,55.6777,12.5709
1168,K¿benhavn K,55.6777,12.5709
1169,K¿benhavn K,55.6777,12.5709
1170,K¿benhavn K,55.6777,12.5709
1171,K¿benhavn K,55.6777,12.5709
1172,K¿benhavn K,55.6777,12.5709
1173,K¿benhavn K,55.6777,12.5709
1174,K¿benhavn K,55.6777,12.5709
1175,K¿benhavn K,55.6777,12.5709
1200,K¿benhavn K,55.6777,12.5709
1201,K¿benhavn K,55.6777,12.5709
1202,K¿benhavn K,55.6777,12.5709
1203,K¿benhavn K,55.6777,12.5709
1204,K¿benhavn K,55.6777,12.5709
1205,K¿benhavn K,55.6777,12.5709
1206,K¿benhavn K,55.6777,12.5709
1207,K¿benhavn K,55.6777,12.5709
1208,K¿benhavn K,55.6777,12.5709
1209,K¿benhavn K,55.6777,12.5709
1210,K¿benhavn K,55.6777,12.5709
1211,K¿benhavn K,55.6777,12.5709
1212,K¿benhavn K,55.6777,12.5709
1213,K¿benhavn K,55.6777,12.5709
1214,K¿benhavn K,55.6777,12.5709
1215,K¿benhavn K,55.6777,12.5709
1216,K¿benhavn K,55.6777,12.5709
1217,K¿benhavn K,55.6777,12.5709
1218,K¿benhavn K,55.6777,12.5709
1219,K¿benhavn K,55.6777,12.5709
1220,K¿benhavn K,55.6777,12.5709
1240,K¿benhavn K,55.6777,12.5709
1250,K¿benhavn K,55.6777,12.5709
1251,K¿benhavn K,55.6777,12.5709
1252,K¿benhavn K,55.6777,12.5709
1253,K¿benhavn K,55.6777,12.5709
1254,K¿benhavn K,55.6777,12.5709
1255,K¿benhavn K,55.6777,12.5709
1256,K¿benhavn K,55.6777,12.5709
1257,K¿benhavn K,55.6777,12.5709
1258,K¿benhavn K,55.6777,12.5709
1259,K¿benhavn K,55.6777,12.5709
1260,K¿benhavn K,55.6777,12.5709
1261,K¿benhavn K,55.6777,12.5709
1263,K¿benhavn K,55.6777,12.5709
1264,K¿benhavn K,55.6777,12.5709
1265,K¿benhavn K,55.6777,12.5709
1266,K¿benhavn K,55.6777,12.5709
1267,K¿benhavn K,55.6777,12.5709
1268,K¿benhavn K,55.6777,12.5709
1270,K¿benhavn K,55.6777,12.5709
1271,K¿benhavn K,55.6777,12.5709
1291,K¿benhavn K,55.6777,12.5709
1300,K¿benhavn K,55.6777,12.5709
1301,K¿benhavn K,55.6777,12.5709
1302,K¿benhavn K,55.6777,12.5709
1303,K¿benhavn K,55.6777,12.5709
1304,K¿benhavn K,55.6777,12.5709
1306,K¿benhavn K,55.6777,12.5709
1307,K¿benhavn K,55.6777,12.5709
1308,K¿benhavn K,55.6777,12.5709
1309,K¿benhavn K,55.6777,12.5709
1310,K¿benhavn K,55.6777,12.5709
1311,K¿benhavn K,55.6777,12.5709
1312,K¿benhavn K,55.6777,12.5709
1313,K¿benhavn K,55.6777,12.5709
1314,K¿benhavn K,55.6777,12.5709
1315,K¿benhavn K,55.6777,12.5709
1316,K¿benhavn K,55.6777,12.5709
1317,K¿benhavn K,55.6777,12.5709
1318,K¿benhavn K,55.6777,12.5709
1319,K¿benhavn K,55.6777,12.5709
1320,K¿benhavn K,55.6777,12.5709
1321,K¿benhavn K,55.6777,12.5709
1322,K¿benhavn K,55.6777,12.5709
1323,K¿benhavn K,55.6777,12.5709
1324,K¿benhavn K,55.6777,12.5709
1325,K¿benhavn K,55.6777,12.5709
1326,K¿benhavn K,55.6777,12.5709
1327,K¿benhavn K,55.6777,12.5709
1328,K¿benhavn K,55.6777,12.5709
1329,K¿benhavn K,55.6777,12.5709
1349,K¿benhavn K,55.6777,12.5709
1350,K¿benhavn K,55.6777,12.5709
1352,K¿benhavn K,55.6777,12.5709
1353,K¿benhavn K,55.6777,12.5709
1354,K¿benhavn K,55.6777,12.5709
1355,K¿benhavn K,55.6777,12.5709
1356,K¿benhavn K,55.6777,12.5709
1357,K¿benhavn K,55.6777,12.5709
1358,K¿benhavn K,55.6777,12.5709
1359,K¿benhavn K,55.6777,12.5709
1360,K¿benhavn K,55.6777,12.5709
1361,K¿benhavn K,55.6777,12.5709
1362,K¿benhavn K,55.6777,12.5709
1363,K¿benhavn K,55.6777,12.5709
1364,K¿benhavn K,55.6777,12.5709
1365,K¿benhavn K,55.6777,12.5709
1366,K¿benhavn K,55.6777,12.5709
1367,K¿benhavn K,55.6777,12.5709
1368,K¿benhavn K,55.6777,12.5709
1369,K¿benhavn K,55.6777,12.5709
1370,K¿benhavn K,55.6777,12.5709
1371,K¿benhavn K,55.6777,12.5709
1390,K¿benhavn K,55.6777,12.5709
1399,K¿benhavn K,55.6777,12.5709
1400,K¿benhavn K,55.6777,12.5709
1401,K¿benhavn K,55.6777,12.5709
1402,K¿benhavn K,55.6777,12.5709
1403,K¿benhavn K,55.6777,12.5709
1404,K¿benhavn K,55.6777,12.5709
1405,K¿benhavn K,55.6777,12.5709
1406,K¿benhavn K,55.6777,12.5709
1407,K¿benhavn K,55.6777,12.5709
1408,K¿benhavn K,55.6777,12.5709
1409,K¿benhavn K,55.6777,12.5709
1410,K¿benhavn K,55.6777,12.5709
1411,K¿benhavn K,55.6777,12.5709
1412,K¿benhavn K,55.6777,12.5709
1413,K¿benhavn K,55.6777,12.5709
1414,K¿benhavn K,55.6777,12.5709
1415,K¿benhavn K,55.6777,12.5709
1416,K¿benhavn K,55.6777,12.5709
1417,K¿benhavn K,55.6777,12.5709
1418,K¿benhavn K,55.6777,12.5709
1419,K¿benhavn K,55.6777,12.5709
1420,K¿benhavn K,55.6777,12.5709
1421,K¿benhavn K,55.6777,12.5709
1422,K¿benhavn K,55.6777,12.5709
1423,K¿benhavn K,55.6777,12.5709
1424,K¿benhavn K,55.6777,12.5709
1425,K¿benhavn K,55.6777,12.5709
1426,K¿benhavn K,55.6777,12.5709
1427,K¿benhavn K,55.6777,12.5709
1428,K¿benhavn K,55.6777,12.5709
1429,K¿benhavn K,55.6777,12.5709
1430,K¿benhavn K,55.6777,12.5709
1431,K¿benhavn K,55.6777,12.5709
1432,K¿benhavn K,55.6777,12.5709
1433,K¿benhavn K,55.6777,12.5709
1434,K¿benhavn K,55.6777,12.5709
1435,K¿benhavn K,55.6777,12.5709
1436,K¿benhavn K,55.6777,12.5709
1437,K¿benhavn K,55.6777,12.5709
1438,K¿benhavn K,55.6777,12.5709
1439,K¿benhavn K,55.6777,12.5709
1440,K¿benhavn K,55.6777,12.5709
1441,K¿benhavn K,55.6777,12.5709
1448,K¿benhavn K,55.6777,12.5709
1450,K¿benhavn K,55.6777,12.5709
1451,K¿benhavn K,55.6777,12.5709
1452,K¿benhavn K,55.6777,12.5709
1453,K¿benhavn K,55.6777,12.5709
1454,K¿benhavn K,55.6777,12.5709
1455,K¿benhavn K,55.6777,12.5709
1456,K¿benhavn K,55.6777,12.5709
1457,K¿benhavn K,55.6777,12.5709
1458,K¿benhavn K,55.6777,12.5709
1459,K¿benhavn K,55.6777,12.5709
1460,K¿benhavn K,55.6777,12.5709
1461,K¿benhavn K,55.6777,12.5709
1462,K¿benhavn K,55.6777,12.5709
1463,K¿benhavn K,55.6777,12.5709
1464,K¿benhavn K,55.6777,12.5709
1465,K¿benhavn K,55.6777,12.5709
1466,K¿benhavn K,55.6777,12.5709
1467,K¿benhavn K,55.6777,12.5709
1468,K¿benhavn K,55.6777,12.5709
1470,K¿benhavn K,55.6777,12.5709
1471,K¿benhavn K,55.6777,12.5709
1472,K¿benhavn K,55.6777,12.5709
1473,K¿benhavn K,55.6777,12.5709
1500,K¿benhavn V,55.6777,12.5709
1501,K¿benhavn V,55.6777,12.5709
1502,K¿benhavn V,55.6777,12.5709
1503,K¿benhavn V,55.6777,12.5709
1504,K¿benhavn V,55.6777,12.5709
1505,K¿benhavn V,55.6777,12.5709
1506,K¿benhavn V,55.6777,12.5709
1507,K¿benhavn V,55.6777,12.5709
1508,K¿benhavn V,55.6777,12.5709
1509,K¿benhavn V,55.6777,12.5709
1510,K¿benhavn V,55.6777,12.5709
1532,K¿benhavn V,55.6777,12.5709
1533,K¿benhavn V,55.6777,12.5709
1550,K¿benhavn V,55.6777,12.5709
1551,K¿benhavn V,55.6777,12.5709
1552,K¿benhavn V,55.6777,12.5709
1553,K¿benhavn V,55.6777,12.5709
1554,K¿benhavn V,55.6777,12.5709
1555,K¿benhavn V,55.6777,12.5709
1556,K¿benhavn V,55.6777,12.5709
1557,K¿benhavn V,55.6777,12.5709
1558,K¿benhavn V,55.6777,12.5709
1559,K¿benhavn V,55.6777,12.5709
1560,K¿benhavn V,55.6777,12.5709
1561,K¿benhavn V,55.6777,12.5709
1562,K¿benhavn V,55.6777,12.5709
1563,K¿benhavn V,55.6777,12.5709
1564,K¿benhavn V,55.6777,12.5709
1566,K¿benhavn V,55.6777,12.5709
